Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	344
	Source Height	496
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	CC Power Pin #1	Top Left #2
	Frame	X pixels	Y pixels	
	0	188.794	49.4398	
	1	188.794	49.4398	
	2	188.794	49.4398	
	3	188.794	49.4398	
	4	188.794	49.4398	
	5	188.794	49.4398	
	6	188.794	49.4398	
	7	188.794	49.4398	
	8	188.794	49.4398	
	9	188.794	49.4398	
	10	188.794	49.4398	
	11	188.794	49.4398	
	12	188.794	49.4398	
	13	188.794	49.4398	
	14	188.794	49.4398	
	15	188.794	49.4398	
	16	188.794	49.4398	
	17	188.794	49.4398	
	18	188.794	49.4398	
	19	188.794	49.4398	
	20	188.794	49.4398	
	21	188.794	49.4398	
	22	188.794	49.4398	
	23	188.794	49.4398	
	24	188.794	49.4398	
	25	188.794	49.4398	
	26	188.794	49.4398	
	27	188.794	49.4398	
	28	188.794	49.4398	
	29	188.794	49.4398	
	30	188.794	49.4398	
	31	188.794	49.4398	
	32	188.794	49.4398	
	33	188.794	49.4398	
	34	188.794	49.4398	
	35	188.794	49.4398	
	36	188.794	49.4398	
	37	188.794	49.4398	
	38	188.794	49.4398	
	39	188.794	49.4398	
	40	188.794	49.4398	
	41	188.794	49.4398	
	42	188.794	49.4398	
	43	188.794	49.4398	
	44	188.794	49.4398	
	45	188.794	49.4398	
	46	188.794	49.4398	
	47	188.794	49.4398	
	48	188.794	49.4398	
	49	188.794	49.4398	
	50	188.794	49.4398	
	51	188.794	49.4398	
	52	188.794	49.4398	
	53	188.794	49.4398	
	54	188.794	49.4398	
	55	188.794	49.4398	
	56	188.794	49.4398	
	57	188.794	49.4398	
	58	188.794	49.4398	
	59	188.794	49.4398	
	60	188.794	49.4398	
	61	188.794	49.4398	
	62	188.794	49.4398	
	63	188.794	49.4398	
	64	188.794	49.4398	
	65	188.794	49.4398	
	66	188.794	49.4398	
	67	188.794	49.4398	
	68	188.794	49.4398	
	69	188.794	49.4398	
	70	188.794	49.4398	
	71	188.794	49.4398	
	72	188.794	49.4398	
	73	188.794	49.4398	
	74	188.794	49.4398	
	75	188.794	49.4398	
	76	188.794	49.4398	
	77	188.794	49.4398	
	78	188.794	49.4398	
	79	188.794	49.4398	
	80	188.794	49.4398	
	81	188.794	49.4398	
	82	188.794	49.4398	
	83	188.794	49.4398	
	84	188.794	49.4398	
	85	188.794	49.4398	
	86	188.794	49.4398	
	87	188.794	49.4398	
	88	188.794	49.4398	
	89	188.794	49.4398	
	90	188.794	49.4398	
	91	188.794	49.4398	
	92	188.794	49.4398	
	93	188.794	49.4398	
	94	188.794	49.4398	
	95	188.794	49.4398	
	96	188.794	49.4398	
	97	188.794	49.4398	
	98	188.794	49.4398	
	99	188.794	49.4398	
	100	188.794	49.4398	
	101	188.794	49.4398	
	102	188.794	49.4398	
	103	188.794	49.4398	
	104	188.794	49.4398	
	105	188.794	49.4398	
	106	188.794	49.4398	
	107	188.794	49.4398	
	108	188.794	49.4398	
	109	188.794	49.4398	
	110	188.794	49.4398	
	111	188.794	49.4398	
	112	188.794	49.4398	
	113	188.794	49.4398	
	114	188.794	49.4398	
	115	188.794	49.4398	
	116	188.794	49.4398	
	117	188.794	49.4398	
	118	188.794	49.4398	
	119	188.794	49.4398	
	120	188.794	49.4398	
	121	188.794	49.4398	
	122	188.794	49.4398	
	123	188.794	49.4398	
	124	188.794	49.4398	
	125	188.794	49.4398	
	126	188.794	49.4398	
	127	188.794	49.4398	
	128	188.794	49.4398	
	129	188.794	49.4398	
	130	188.794	49.4398	
	131	188.794	49.4398	
	132	188.794	49.4398	
	133	188.794	49.4398	
	134	188.794	49.4398	
	135	188.794	49.4398	
	136	188.794	49.4638	
	137	188.982	49.5125	
	138	189.236	49.5582	
	139	189.466	49.4379	
	140	189.609	49.434	
	141	189.739	49.4203	
	142	189.793	49.3489	
	143	189.89	49.2901	
	144	190.064	49.1733	
	145	190.212	49.1292	
	146	190.512	49.0877	
	147	190.598	49.0177	
	148	190.7	48.9714	
	149	190.835	48.9298	
	150	190.917	48.8799	
	151	191.081	48.8617	
	152	191.344	48.8277	
	153	191.491	48.8635	
	154	191.737	48.7353	
	155	191.967	48.741	
	156	192.051	48.667	
	157	192.13	48.6602	
	158	192.122	48.6718	
	159	192.143	48.6706	
	160	192.143	48.6579	
	161	192.096	48.6554	
	162	192.174	48.3772	
	163	192.147	48.3955	
	164	192.104	48.4006	
	165	192.104	48.3667	
	166	191.996	48.332	
	167	191.89	48.3487	
	168	191.602	48.3	
	169	191.505	48.3135	
	170	191.41	48.3129	
	171	191.31	48.4932	
	172	191.222	48.4958	
	173	191.015	48.5186	
	174	190.895	48.4966	
	175	190.751	48.4901	
	176	190.628	48.2623	
	177	190.514	48.4892	
	178	190.594	48.5021	
	179	190.73	48.5249	
	180	190.827	48.5622	
	181	190.918	48.5868	
	182	191.013	48.5819	
	183	190.988	48.639	
	184	190.983	48.6708	
	185	190.817	48.7613	
	186	190.484	48.8244	
	187	189.962	49.211	
	188	189.434	49.5094	
	189	188.795	49.6425	
	190	188.377	49.9266	
	191	188.248	50.074	
	192	188.173	50.3624	
	193	188.271	50.3787	
	194	188.537	50.3858	
	195	188.641	50.3641	
	196	188.765	50.0876	
	197	188.838	49.9383	
	198	188.936	49.5026	
	199	189.279	49.1597	
	200	189.642	48.9851	
	201	189.945	48.8566	
	202	190.142	48.5542	
	203	190.236	48.501	
	204	190.191	48.5706	
	205	190.118	48.8633	
	206	189.993	48.947	
	207	189.937	49.0904	
	208	189.85	49.118	
	209	189.716	49.0984	
	210	189.572	49.1677	
	211	189.38	49.0956	
	212	189.253	49.1315	
	213	189.169	48.9906	
	214	189.159	48.9149	
	215	189.185	48.8295	
	216	189.251	48.5542	
	217	189.46	48.5665	
	218	189.583	48.488	
	219	189.641	48.5132	
	220	189.741	48.4351	
	221	189.836	48.4517	
	222	189.888	48.3684	
	223	190.165	48.2885	
	224	190.563	48.0496	
	225	191.118	47.9912	
	226	191.839	47.8794	
	227	192.627	47.8887	
	228	193.648	47.871	
	229	194.826	48.2369	
	230	196.1	48.4191	
	231	197.316	48.9422	
	232	198.173	49.866	
	233	198.281	50.1792	
	234	198.361	50.411	
	235	198.462	50.7452	
	236	198.209	51.8456	
	237	197.727	53.0277	
	238	197.317	54.2317	
	239	197.049	55.2224	
	240	196.701	56.0686	
	241	195.881	56.9613	
	242	194.61	58.0294	
	243	192.942	59.329	
	244	190.933	60.6865	
	245	188.684	62.3351	
	246	186.076	64.2751	
	247	183.114	66.3092	
	248	179.983	68.5293	
	249	177.29	70.6472	
	250	175.143	72.3046	
	251	173.904	73.6294	
	252	173.438	74.8563	
	253	173.594	75.8641	
	254	174.227	76.5013	
	255	175.348	77.2901	
	256	176.859	78.033	
	257	178.465	78.7134	
	258	180.091	79.5782	
	259	181.434	80.6467	
	260	182.157	82.1345	
	261	182.348	84.0269	
	262	182.731	85.8457	
	263	183.365	87.4644	
	264	183.818	88.607	
	265	184.247	89.9377	
	266	184.613	91.0146	
	267	185.078	92.0752	
	268	185.517	93.2405	
	269	186.007	94.0679	
	270	186.622	94.5951	
	271	187.336	95.0987	
	272	188.685	95.503	
	273	190.258	95.7908	
	274	191.637	96.0621	
	275	192.78	96.3364	
	276	193.622	96.8454	
	277	194.344	97.1891	
	278	195.126	97.3895	
	279	196.022	97.4545	
	280	196.924	97.3051	
	281	197.814	97.1571	
	282	198.632	97.0085	
	283	199.139	96.6413	
	284	199.102	96.258	
	285	198.347	95.9442	
	286	196.886	95.8008	
	287	194.829	95.9119	
	288	192.536	96.3244	
	289	190.229	96.727	
	290	188.24	97.1457	
	291	187.181	97.4088	
	292	187.62	97.3438	
	293	188.773	97.099	
	294	190.197	97.0478	
	295	191.516	97.0284	
	296	192.307	97.2551	
	297	192.355	97.6764	
	298	191.677	98.5492	
	299	190.631	99.6019	
	300	189.886	101.024	
	301	189.578	102.68	
	302	189.982	104.21	
	303	191.516	105.226	
	304	193.726	105.291	
	305	196.263	104.475	
	306	198.571	102.928	
	307	200.376	100.88	
	308	201.399	98.9178	
	309	201.682	97.3882	
	310	201.474	95.9427	
	311	200.744	94.6941	
	312	199.748	93.6002	
	313	198.554	92.8483	
	314	197.497	92.1227	
	315	196.657	91.5555	
	316	196.052	91.2071	
	317	195.681	90.9217	
	318	195.476	90.835	
	319	195.163	91.0135	
	320	195.042	91.5165	
	321	194.921	92.1423	
	322	194.889	92.8787	
	323	195.151	93.4498	
	324	195.388	93.7449	
	325	195.897	93.7714	
	326	196.424	93.6298	
	327	196.793	93.3864	
	328	196.943	92.9631	
	329	196.701	92.6973	
	330	196.236	92.5334	
	331	195.357	92.5151	
	332	194.247	92.6417	
	333	192.877	92.9079	
	334	191.695	93.0743	
	335	190.41	93.1158	
	336	189.301	93.0767	
	337	188.461	93.021	
	338	188.001	92.8611	
	339	187.794	92.6935	
	340	187.7	92.6306	
	341	187.898	92.8782	
	342	187.916	93.5527	
	343	188.05	94.5296	
	344	188.358	95.8054	
	345	188.975	97.3525	
	346	189.975	99.0133	
	347	191.313	100.125	
	348	193.079	100.786	
	349	195.149	100.878	
	350	197.029	99.5742	
	351	198.248	97.3904	
	352	199.265	94.5051	
	353	199.472	90.9814	
