Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Checkbox Control #9	Checkbox #2
	Frame		
	208	0	
	445	1	
	474	0	
	3069	1	
	3092	0	
	4662	1	
	4695	0	
	5103	1	
	5114	0	
	5650	1	
	5668	0	
	5702	1	
	5951	0	
	6134	1	
	6163	0	
	6294	1	
	6429	0	
	6444	1	
	6617	0	
	6679	1	
	6813	0	
	6864	1	
	7017	0	
	7083	1	
	7344	0	
	7517	1	
	7546	0	
	7628	1	
	7669	0	
	7773	1	
	7850	0	
	7931	1	
	8014	0	
	8077	1	
	8156	0	
	8219	1	
	8303	0	
	8370	1	
	8574	0	
	8617	1	
	8744	0	
	8882	1	
	9067	0	
	9146	1	
	9265	0	
	9422	1	
	9460	0	
	9970	1	
	10145	0	
	10254	1	
	10359	0	
	10420	1	
	10471	0	
	10608	1	
	10644	0	
	10738	1	
	10998	0	
	11110	1	
	11267	0	
	11317	1	
	11471	0	
	11553	1	
	12099	0	
	12204	1	
	13361	0	
	13409	1	
	14204	0	
	14915	1	
	15130	0	
	15157	1	
	15216	0	
	15311	1	
	15432	0	
	15518	1	
	15594	0	
	15603	1	
	15615	0	
	15817	1	
	16448	0	
	16514	1	
	16614	0	
	16652	1	
	17505	0	
	17619	1	
	17731	0	
	17776	1	
	18085	0	
	18140	1	
	18283	0	
	18348	1	
	18426	0	
	18571	1	
	18694	0	
	18754	1	
	18858	0	
	18927	1	
	19071	0	
	19075	1	
	19081	0	
	19100	1	
	19176	0	
	19199	1	
	19263	0	
	19336	1	
	19429	0	
	19475	1	
	19775	0	
	20061	1	
	20215	0	
	20251	1	
	20326	0	
	20363	1	
	20561	0	
	20564	1	
	20575	0	
	20610	1	
	20707	0	
	20765	1	
	20849	0	
	20956	1	
	21011	0	
	21217	1	
	21239	0	
	21279	1	
	21426	0	
	21805	1	
	21888	0	
	21899	1	
	21989	0	
	22045	1	
	22099	0	
	22167	1	
	22454	0	
	22732	1	
	22848	0	
	22910	1	
	22952	0	
	23017	1	
	23066	0	
	23079	1	
	23088	0	
	23345	1	
	23377	0	
	23530	1	
	23589	0	
	23710	1	
	23789	0	
	23892	1	
	23991	0	
	24039	1	
	24165	0	
	24197	1	
	24339	0	
	24420	1	
	24534	0	
	24623	1	
	24875	0	
	24984	1	
	25118	0	
	25211	1	
	25354	0	
	25461	1	
	25580	0	
	25609	1	
	25829	0	
	25880	1	
	25959	1	
	25993	0	
	26020	1	
	26239	0	
	26314	1	
	26597	0	
	26853	1	
	26901	0	
	28434	1	
	28533	0	
	28827	1	
	28945	0	
	28956	1	
	28980	0	
	29395	1	
	29453	0	
	30063	1	
	30095	0	
	30188	1	
	30230	0	
	30249	1	
	30258	0	
	30299	1	
	31287	0	
	32154	1	
	32172	0	
	32354	1	
	32612	0	
	33180	1	
	33198	0	
	33382	1	
	33445	0	
	34341	1	
	34512	0	
	34567	1	
	34887	0	
	35051	1	
	35336	0	


End of Keyframe Data
