Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Checkbox Control #10	Checkbox #2
	Frame		
	208	0	
	312	1	
	410	0	
	486	1	
	497	0	
	505	1	
	1345	0	
	1358	1	
	1842	0	
	1866	1	
	3019	0	
	3116	1	
	3855	0	
	3921	1	
	4090	0	
	4115	1	
	4498	0	
	4539	1	
	4642	0	
	4726	1	
	4893	0	
	4956	1	
	5075	0	
	5156	1	
	5570	0	
	5592	1	
	5627	0	
	5997	1	
	6115	0	
	7353	1	
	7472	0	
	8316	1	
	8360	0	
	9652	1	
	9850	0	
	10156	1	
	10200	0	
	11060	1	
	11075	0	
	12110	1	
	12197	0	
	14210	1	
	14350	0	
	14567	1	
	14587	0	
	15650	1	
	15674	0	
	17534	1	
	17604	0	
	18438	1	
	18551	0	
	19086	1	
	19096	0	
	19294	1	
	19320	0	
	19780	1	
	19932	0	
	20721	1	
	20745	0	
	20890	1	
	20914	0	
	21033	1	
	21156	0	
	21507	1	
	21625	0	
	21743	1	
	21777	0	
	22553	1	
	22722	0	
	24555	1	
	24594	0	
	24935	1	
	24958	0	
	26604	1	
	26801	0	
	26964	1	
	27268	0	
	27306	1	
	27428	0	
	27486	1	
	27582	0	
	27639	1	
	28262	0	
	28317	1	
	28417	0	
	28988	1	
	29307	0	
	31310	1	
	31347	0	
	31375	1	
	32146	0	
	32268	1	
	32334	0	
	32723	1	
	32998	0	
	33017	1	
	33087	0	
	33113	1	
	33168	0	
	33204	1	
	33322	0	
	33521	1	
	33643	0	
	33760	1	
	34334	0	
	34986	1	
	35039	0	
	35051	0	
	35351	1	
	35538	0	


End of Keyframe Data
