Adobe After Effects 8.0 Keyframe Data

	Units Per Second	60
	Source Width	344
	Source Height	496
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	CC Power Pin #1	Top Left #2
	Frame	X pixels	Y pixels	
	0	365.806	51.7029	
	1	365.806	51.7029	
	2	365.806	51.7029	
	3	365.806	51.7029	
	4	365.806	51.7029	
	5	365.806	51.7029	
	6	365.806	51.7029	
	7	365.806	51.7029	
	8	365.806	51.7029	
	9	365.806	51.7029	
	10	365.806	51.7029	
	11	365.806	51.7029	
	12	365.806	51.7029	
	13	365.806	51.7029	
	14	365.806	51.7029	
	15	365.806	51.7029	
	16	365.806	51.7029	
	17	365.806	51.7029	
	18	365.806	51.7029	
	19	365.806	51.7029	
	20	365.806	51.7029	
	21	365.806	51.7029	
	22	365.806	51.7029	
	23	365.806	51.7029	
	24	365.806	51.7029	
	25	365.806	51.7029	
	26	365.806	51.7029	
	27	365.806	51.7029	
	28	365.806	51.7029	
	29	365.806	51.7029	
	30	365.806	51.7029	
	31	365.806	51.7029	
	32	365.806	51.7029	
	33	365.806	51.7029	
	34	365.806	51.7029	
	35	365.806	51.7029	
	36	365.806	51.7029	
	37	365.806	51.7029	
	38	365.806	51.7029	
	39	365.806	51.7029	
	40	365.806	51.7029	
	41	365.806	51.7029	
	42	365.806	51.7029	
	43	365.806	51.7029	
	44	365.806	51.7029	
	45	365.806	51.7029	
	46	365.806	51.7029	
	47	365.806	51.7029	
	48	365.806	51.7029	
	49	365.806	51.7029	
	50	365.806	51.7029	
	51	365.806	51.7029	
	52	365.806	51.7029	
	53	365.806	51.7029	
	54	365.806	51.7029	
	55	365.806	51.7029	
	56	365.806	51.7029	
	57	365.806	51.7029	
	58	365.806	51.7029	
	59	365.806	51.7029	
	60	365.806	51.7029	
	61	365.806	51.7029	
	62	365.806	51.7029	
	63	365.806	51.7029	
	64	365.806	51.7029	
	65	365.806	51.7029	
	66	365.806	51.7029	
	67	365.806	51.7029	
	68	365.806	51.7029	
	69	365.806	51.7029	
	70	365.806	51.7029	
	71	365.806	51.7029	
	72	365.806	51.7029	
	73	365.806	51.7029	
	74	365.806	51.7029	
	75	365.806	51.7029	
	76	365.806	51.7029	
	77	365.806	51.7029	
	78	365.806	51.7029	
	79	365.806	51.7029	
	80	365.806	51.7029	
	81	365.806	51.7029	
	82	365.806	51.7029	
	83	365.806	51.7029	
	84	365.806	51.7029	
	85	365.806	51.7029	
	86	365.806	51.7029	
	87	365.806	51.7029	
	88	365.806	51.7029	
	89	365.806	51.7029	
	90	365.806	51.7029	
	91	365.806	51.7029	
	92	365.806	51.7029	
	93	365.806	51.7029	
	94	365.806	51.7029	
	95	365.806	51.7029	
	96	365.806	51.7029	
	97	365.806	51.7029	
	98	365.806	51.7029	
	99	365.806	51.7029	
	100	365.806	51.7029	
	101	365.806	51.7029	
	102	365.806	51.7029	
	103	365.806	51.7029	
